Row ID;Order ID;Data da Venda;Prioridade;Quantidade;Valor da Venda;Desconto;Forma de Envio;Lucro;Preço Unitário;Custo de Envio;Nome do Cliente;Cidade;CEP;Estado;Região;País;Segmento do Cliente;Categoria do Produto;Sub-Categoria do Produto;Nome do Produto;Embalagem;Margem;Data de Envio
674;4706;28/12/12;Não Especificada;30;2116,7;0,02;Aéreo Normal;488,82;67,28;19,99;Bradley Drucker;Recife;90069;Pernambuco;Nordeste;Brasil;Pequenas Empresas;Material de Escritório;Capas e Acessórios;Catalog Binders with Expanding Posts;Small Box;0,4;30/12/12
816;5891;28/12/12;Média;2;44,45;0,01;Aéreo Normal;-17,46;20,98;1,49;Art Foster;João Pessoa;80126;Paraíba;Nordeste;Brasil;Escritório em Casa;Material de Escritório;Capas e Acessórios;Avery Legal 4-Ring Binder;Small Box;0,35;30/12/12
1876;13507;29/12/12;Média;27;176,1;0,09;Aéreo Normal;-75,71;6,78;6,18;Anna Andreadi;Belém;60110;Pará;Norte;Brasil;Pequenas Empresas;Material de Escritório;Papel;Strathmore Photo Mount Cards;Small Box;0,39;30/12/12
3583;25542;30/12/12;Baixa;37;257,46;0,09;Aéreo Rápido;-18,66;7,28;4,23;Matt Hagelstein;Formosa;76543;Goiás;Centro-Oeste;Brasil;Escritório em Casa;Material de Escritório;Papel;"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book";Wrap Bag;0,39;30/12/12
4008;28611;27/12/12;Baixa;30;15337,58;0,1;Aéreo Normal;6670,41;525,98;19,99;Alan Haines;São Paulo;14150;São Paulo;Sudeste;Brasil;Consumidor;Material de Escritório;Capas e Acessórios;GBC DocuBind 300 Electric Binding Machine;Small Box;0,37;30/12/12
4100;29216;29/12/12;Crítica;46;1936,45;0,1;Aéreo Normal;307,17;43,22;4;Jennifer Jackson;Porto Alegre;38637;Rio Grande do Sul;Sul;Brasil;Escritório em Casa;Tecnologia;Periféricos;Fellowes Mobile Numeric Keypad, Graphite;Small Box;0,64;30/12/12
4101;29216;29/12/12;Crítica;17;3711,04;0,04;Transporte Rodoviário;-773,78;218,75;69,64;Jennifer Jackson;Porto Alegre;38637;Rio Grande do Sul;Sul;Brasil;Escritório em Casa;Mobiliário;Mesas;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;Jumbo Box;0,77;30/12/12
6361;45127;30/12/12;Média;10;14,15;0,1;Aéreo Normal;-1,29;1,48;0,7;Theresa Swint;Maringá;33569;Paraná;Sul;Brasil;Consumidor;Material de Escritório;Elásticos;Binder Clips by OIC;Wrap Bag;0,37;30/12/12
6712;47815;30/12/12;Não Especificada;45;580,96;0,08;Aéreo Normal;-33,47;13,73;6,85;Jim Epp;Barros Cassal;22901;Rio Grande do Sul;Sul;Brasil;Pequenas Empresas;Mobiliário;Mobiliário de Escritório;DAX Wood Document Frame.;Wrap Bag;0,54;30/12/12
6915;49344;30/12/12;Baixa;31;672,93;0;Aéreo Normal;27,85;19,98;4;Maribeth Yedwab;Florianópolis;40356;Santa Catarina;Sul;Brasil;Escritório em Casa;Tecnologia;Periféricos;Belkin 105-Key Black Keyboard;Small Box;0,68;30/12/12
6916;49344;30/12/12;Baixa;1;803,33;0,09;Aéreo Normal;-745,20;832,81;24,49;Maribeth Yedwab;Florianópolis;40356;Santa Catarina;Sul;Brasil;Escritório em Casa;Material de Escritório;Tesouras, réguas e aparadores;Martin Yale Chadless Opener Electric Letter Opener;Medium Box;0,83;30/12/12
7141;50950;30/12/12;Não Especificada;6;391,12;0,06;Transporte Rodoviário;-166,96;60,98;30;Tony Molinari;Recife;94533;Pernambuco;Nordeste;Brasil;Corporativo;Mobiliário;Cadeiras;Novimex Fabric Task Chair;Jumbo Drum;0,7;30/12/12
7142;50950;30/12/12;Não Especificada;35;448,1;0,1;Aéreo Rápido;-15,07;13,48;4,51;Tony Molinari;Recife;94533;Pernambuco;Nordeste;Brasil;Corporativo;Material de Escritório;Armazenamento e Organização;Tenex Personal Project File with Scoop Front Design, Black;Small Box;0,59;30/12/12
7524;53730;29/12/12;Alta;40;181,8;0,05;Aéreo Normal;-144,74;4,54;5,83;Shirley Schmidt;Ribeirão Pires;10583;São Paulo;Sudeste;Brasil;Corporativo;Material de Escritório;Capas e Acessórios;"Avery® Durable Plastic 1"" Binders";Small Box;0,36;30/12/12
234;1573;27/12/12;Alta;13;759,94;0,09;Transporte Rodoviário;-226,45;60,89;32,41;Lena Radford;Alexânia;54915;Goiás;Centro-Oeste;Brasil;Pequenas Empresas;Mobiliário;Cadeiras;Global Push Button Manager's Chair, Indigo;Jumbo Drum;0,56;29/12/12
3741;26726;27/12/12;Alta;11;86,68;0,08;Aéreo Normal;-474,91;3,48;49;Roland Black;Anápolis;55044;Goiás;Centro-Oeste;Brasil;Pequenas Empresas;Material de Escritório;Eletrodomésticos;Hoover® Commercial Lightweight Upright Vacuum;Large Box;0,59;29/12/12
4009;28611;27/12/12;Baixa;42;3883,4715;0,1;Aéreo Normal;707,17;115,99;8,99;Alan Haines;São Paulo;14150;São Paulo;Sudeste;Brasil;Consumidor;Tecnologia;Telefones e Comunicação;5185;Small Box;0,58;29/12/12
4106;29220;29/12/12;Média;36;12690,33;0,08;Aéreo Rápido;5045,30;367,99;19,99;Logan Haushalter;São Paulo;10801;São Paulo;Sudeste;Brasil;Corporativo;Material de Escritório;Capas e Acessórios;Ibico Ibimaster 300 Manual Binding System;Small Box;0,4;29/12/12
4834;34400;24/12/12;Baixa;17;988,6435;0,04;Aéreo Normal;89,89;65,99;4,2;Joy Daniels;Loanda;32780;Paraná;Sul;Brasil;Corporativo;Tecnologia;Telefones e Comunicação;5170;Small Box;0,59;29/12/12
6060;42945;29/12/12;Não Especificada;45;178,7;0,07;Aéreo Normal;-164,92;3,95;5,13;Quincy Jones;São Luís;88201;Maranhão;Nordeste;Brasil;Corporativo;Material de Escritório;Eletrodomésticos;Hoover Replacement Belts For Soft Guard™ & Commercial Ltweight Upright Vacs, 2/Pk;Small Box;0,59;29/12/12
1681;12129;25/12/12;Média;36;4852,05;0;Transporte Rodoviário;-1197,58;122,99;70,2;Giulietta Weimer;Anápolis;48104;Goiás;Centro-Oeste;Brasil;Corporativo;Mobiliário;Cadeiras;Global High-Back Leather Tilter, Burgundy;Jumbo Drum;0,74;28/12/12
2327;16772;26/12/12;Alta;38;95,71;0,04;Aéreo Normal;32,81;2,61;0,5;Alex Russell;Teresina;97035;Piauí;Nordeste;Brasil;Escritório em Casa;Material de Escritório;Etiquetas;Avery 479;Small Box;0,39;28/12/12
2681;19394;25/12/12;Média;5;539,206;0,05;Aéreo Normal;-452,39;125,99;8,8;Darren Powers;Formosa;76201;Goiás;Centro-Oeste;Brasil;Corporativo;Tecnologia;Telefones e Comunicação;StarTAC 6500;Small Box;0,59;28/12/12
3742;26726;27/12/12;Alta;41;833,51;0,05;Aéreo Normal;364,99;20,98;1,49;Roland Black;Anápolis;55044;Goiás;Centro-Oeste;Brasil;Pequenas Empresas;Material de Escritório;Capas e Acessórios;Avery Legal 4-Ring Binder;Small Box;0,35;28/12/12
3984;28453;28/12/12;Crítica;26;560,03;0,04;Aéreo Normal;-139,87;21,66;13,99;Lycoris Saunders;Porto Alegre;28540;Rio Grande do Sul;Sul;Brasil;Escritório em Casa;Material de Escritório;Eletrodomésticos;Holmes 99% HEPA Air Purifier;Medium Box;0,52;28/12/12
4159;29505;27/12/12;Média;22;45,21;0,02;Aéreo Rápido;4,61;1,76;0,7;Brad Thomas;Recife;95032;Pernambuco;Nordeste;Brasil;Escritório em Casa;Material de Escritório;Canetas e materiais de arte;Newell 326;Wrap Bag;0,56;28/12/12
4833;34400;24/12/12;Baixa;25;92,53;0,01;Aéreo Normal;-71,52;3,57;4,17;Joy Daniels;Loanda;32780;Paraná;Sul;Brasil;Corporativo;Material de Escritório;Canetas e materiais de arte;Barrel Sharpener;Small Pack;0,59;28/12/12
